places,bind,threads,schedule,time
core,close,56,NA,0.003335
core,spread,56,NA,0.002798
socket,close,56,NA,0.002630
socket,spread,56,NA,0.002743
core,close,1,static-1,0.013957
core,close,2,static-1,0.032703
core,close,4,static-1,0.015375
core,close,8,static-1,0.008763
core,close,16,static-1,0.005043
core,close,32,static-1,0.003345
core,close,56,static-1,0.003061
core,close,56,static-10,0.001291
core,close,56,static-100,0.001236
core,close,56,static-1000,0.001261
core,close,56,dynamic-10,0.029048
core,close,56,dynamic-100,0.003799
core,close,56,dynamic-1000,0.001623
